SeedW,SeedL,Year,Winner,Loser,Score,W_abb,L_abb,WID,LID
16,1,2018,UMBC,Virginia,74–54,MARYLAND-BALTIMORE-COUNTY,VIRGINIA,1420,1438
15,2,2016,MTSU,Michigan St,90–81,MIDDLE-TENNESSEE,MICHIGAN-STATE,1292,1277
15,2,2013,FL Gulf Coast,Georgetown,78–68,FLORIDA-GULF-COAST,GEORGETOWN,1195,1207
15,2,2012,Lehigh,Duke,75–70,LEHIGH,DUKE,1250,1181
15,2,2012,Norfolk St,Missouri,86–84,NORFOLK-STATE,MISSOURI,1313,1281
14,3,2016,SF Austin,West Virginia,70–56,STEPHEN-F-AUSTIN,WEST-VIRGINIA,1372,1452
14,3,2015,Georgia St,Baylor,57–56,GEORGIA-STATE,BAYLOR,1209,1124
14,3,2015,UAB,Iowa St,60–59,ALABAMA-BIRMINGHAM,IOWA-STATE,1412,1235
14,3,2014,Mercer,Duke,78–71,MERCER,DUKE,1273,1181
14,3,2013,Harvard,New Mexico,68–62,HARVARD,NEW-MEXICO,1217,1307
14,3,2010,Ohio,Georgetown,97–83,OHIO,GEORGETOWN,1325,1207
13,4,2018,Marshall,Wichita St,81–75,MARSHALL,WICHITA-STATE,1267,1455
13,4,2018,Buffalo,Arizona,89–68,BUFFALO,ARIZONA,1138,1112
13,4,2016,Hawaii,California,77–66,HAWAII,CALIFORNIA,1218,1143
13,4,2013,La Salle,Kansas St,63–61,LA-SALLE,KANSAS-STATE,1247,1243
13,4,2012,Ohio,Michigan,65–60,OHIO,MICHIGAN,1325,1276
13,4,2011,Morehead St,Louisville,62–61,MOREHEAD-STATE,LOUISVILLE,1287,1257
13,4,2010,Murray St,Vanderbilt,66–65,MURRAY-STATE,VANDERBILT,1293,1435
12,5,2017,MTSU,Minnesota,81–72,MIDDLE-TENNESSEE,MINNESOTA,1292,1278
12,5,2016,Ark Little Rock,Purdue,85–83 (2 OT),ARKANSAS-LITTLE-ROCK,PURDUE,1114,1345
12,5,2016,Yale,Baylor,79–75,YALE,BAYLOR,1463,1124
12,5,2014,SF Austin,VA Commonwealth,77–75 (OT),STEPHEN-F-AUSTIN,VIRGINIA-COMMONWEALTH,1372,1433
12,5,2014,N Dakota St,Oklahoma,80–75 (OT),NORTH-DAKOTA-STATE,OKLAHOMA,1295,1328
12,5,2014,Harvard,Cincinnati,61–57,HARVARD,CINCINNATI,1217,1153
12,5,2013,Mississippi,Wisconsin,57–46,MISSISSIPPI,WISCONSIN,1279,1458
12,5,2013,California,UNLV,64–61,CALIFORNIA,NEVADA-LAS-VEGAS,1143,1424
12,5,2013,Oregon,Oklahoma St,68–55,OREGON,OKLAHOMA-STATE,1332,1329
12,5,2012,South Florida,Temple,58–44,SOUTH-FLORIDA,TEMPLE,1378,1396
12,5,2012,VA Commonwealth,Wichita St,62–59,VIRGINIA-COMMONWEALTH,WICHITA-STATE,1433,1455
12,5,2011,Richmond,Vanderbilt,69–66,RICHMOND,VANDERBILT,1350,1435
12,5,2010,Cornell,Temple,78–65,CORNELL,TEMPLE,1165,1396
11,6,2018,Loyola-Chicago,Miami FL,64–62,LOYOLA-IL,MIAMI-FL,1260,1274
11,6,2018,Syracuse,TCU,57–52,SYRACUSE,TEXAS-CHRISTIAN,1393,1395
11,6,2017,Rhode Island,Creighton,0-1,RHODE-ISLAND,CREIGHTON,1348,1166
11,6,2017,USC,SMU,66–65,SOUTHERN-CALIFORNIA,SOUTHERN-METHODIST,1425,1374
11,6,2017,Xavier,Maryland,76–65,XAVIER,MARYLAND,1462,1268
11,6,2016,Northern Iowa,Texas,75–72,NORTHERN-IOWA,TEXAS,1320,1400
11,6,2016,Gonzaga,Seton Hall,68–52,GONZAGA,SETON-HALL,1211,1371
11,6,2016,Wichita St,Arizona,65–55,WICHITA-STATE,ARIZONA,1455,1112
11,6,2015,Dayton,Providence,66–53,DAYTON,PROVIDENCE,1173,1344
11,6,2015,UCLA,SMU,60–59,UCLA,SOUTHERN-METHODIST,1417,1374
11,6,2014,Tennessee,Massachusetts,86–67,TENNESSEE,MASSACHUSETTS,1397,1269
11,6,2014,Dayton,Ohio St,60–59,DAYTON,OHIO-STATE,1173,1326
11,6,2013,Minnesota,UCLA,83–63,MINNESOTA,UCLA,1278,1417
11,6,2012,Colorado,UNLV,68–64,COLORADO,NEVADA-LAS-VEGAS,1160,1424
11,6,2012,NC State,San Diego St,79–65,NORTH-CAROLINA-STATE,SAN-DIEGO-STATE,1301,1361
11,6,2011,Marquette,Xavier,66–55,MARQUETTE,XAVIER,1266,1462
11,6,2011,VA Commonwealth,Georgetown,74–56,VIRGINIA-COMMONWEALTH,GEORGETOWN,1433,1207
11,6,2011,Gonzaga,St John's,86–71,GONZAGA,ST-JOHNS-NY,1211,1385
11,6,2010,Washington,Marquette,80–78,WASHINGTON,MARQUETTE,1449,1266
11,6,2010,Old Dominion,Notre Dame,51–50,OLD-DOMINION,NOTRE-DAME,1330,1323
